,PhraseNo,Phrase,IsHateSpeech,cleaned_phrase
7,8,Menna ratawal menna minissu. ape ratawal wala inna jathin thunema gothrikayo tika manussayo karala inna wenawa.,YES,Menna ratawal menna minissu  ape ratawal wala inna jathin thunema gothrikayo tika manussayo karala inna wenawa 
11,12,paduway hitahan beri weda nokaran bat eka gaththada bole elluwada oka karagena inna oyala desapalanayata atha daruwan therum ganna nikan thiyena prrsiddath nethi karanna epa,YES,paduway hitahan beri weda nokaran bat eka gaththada bole elluwada oka karagena inna oyala desapalanayata atha daruwan therum ganna nikan thiyena prrsiddath nethi karanna epa
12,13,muth kata arinne anik unta witharai jathiyata agamata sadda na endiyawata koti ganan denawa ahinsakayant ape rate unta mukuth na,YES,muth kata arinne anik unta witharai jathiyata agamata sadda na endiyawata koti ganan denawa ahinsakayant ape rate unta mukuth na
13,14,songs kanna epa buruwo kochchara lassana sindu kanna epa ubalata song karanna barinam nikan edapan thiyana ewa kanna epa,YES,songs kanna epa buruwo kochchara lassana sindu kanna epa ubalata song karanna barinam nikan edapan thiyana ewa kanna epa
14,15,"Muth nanna yanne.kridakayanta,ground walata wena asadaranakam walata wachanayak eliyata danne nathi aka rata hadanna yanawa.Mahela karanam api akenma set.",YES,Muth nanna yanne kridakayanta ground walata wena asadaranakam walata wachanayak eliyata danne nathi aka rata hadanna yanawa Mahela karanam api akenma set 
15,16,Ai mahinda gen polonnaruve valikande hmbawnaAkkara 1800 maddida sanga den unp yen akkara kiyak onida ? Apita ogama danna kaururh nane dun noth apith dannava karan naoni vada,YES,Ai mahinda gen polonnaruve valikande hmbawnaAkkara 1800 maddida sanga den unp yen akkara kiyak onida   Apita ogama danna kaururh nane dun noth apith dannava karan naoni vada
16,17,ජයසූරිය mathakada ow ow sanath ජයසූරිය thama .....eyatath wada KUJITHA wela yannai sangata wenne,YES,ජයසූරිය mathakada ow ow sanath ජයසූරිය thama      eyatath wada KUJITHA wela yannai sangata wenne
18,19,Dana reddak sinhalen danna kiyanna.. meka lankawa,YES,Dana reddak sinhalen danna kiyanna   meka lankawa
19,20,කියන්න වැඩ හොදනම් හදවතින්ම සපෝර්ට් හැබැයි පොහොට්ටුව samaga නොවී U N p nam නම් හුරේ,YES,කියන්න වැඩ හොදනම් හදවතින්ම සපෝර්ට් හැබැයි පොහොට්ටුව samaga නොවී U N p nam නම් හුරේ
20,21,President wenna puluwan bauddayekuta witharai. Me yaka Croatian,YES,President wenna puluwan bauddayekuta witharai  Me yaka Croatian
25,26,ඔය කාරනය හරියට විග්‍රහ කරන්න ඩුප්ලිකේට් මහමෙව්නාවේ ඩුප්ලිකේට් කල්‍යාණ මිතුරන්ට පුලුවන් නම් දිව්‍ය ලෝක promote කරයි‍ ද?,YES,ඔය කාරනය හරියට විග්‍රහ කරන්න ඩුප්ලිකේට් මහමෙව්නාවේ ඩුප්ලිකේට් කල්‍යාණ මිතුරන්ට පුලුවන් නම් දිව්‍ය ලෝක promote කරයි‍ ද 
27,28,"Aka satha 5k wadi karanna epa okunta,wada karanna bai nam job eken elawanna,eliye job nathi ewun oni tharam ennawa.",YES,Aka satha 5k wadi karanna epa okunta wada karanna bai nam job eken elawanna eliye job nathi ewun oni tharam ennawa 
32,33,kisi quality ekak nathi apatayek,YES,kisi quality ekak nathi apatayek
33,34,Munta chande Dena buruwo innawane thawath me rate,YES,Munta chande Dena buruwo innawane thawath me rate
35,36,thota henagapiya kadaya thilangayawa hurathal karapan esige putha,YES,thota henagapiya kadaya thilangayawa hurathal karapan esige putha
36,37,cricket kridawa kawe oi thirisana... oi putuwa deehan sangata. Un dawiwaru yakooo..,YES,cricket kridawa kawe oi thirisana    oi putuwa deehan sangata  Un dawiwaru yakooo  
37,38,kwda me lat roy kiyana ekaa? lat hoodana ekek da?,YES,kwda me lat roy kiyana ekaa  lat hoodana ekek da 
38,39,ekata ape eka..thuuu....,YES,ekata ape eka  thuuu    
40,41,dakuna menessuu harema arthmarthakameeeeeeeeeeee.,YES,dakuna menessuu harema arthmarthakameeeeeeeeeeee 
41,42,sinhalayo kuhakayo,YES,sinhalayo kuhakayo
42,43,අපොයි 2020 ජනාධිපති නෙද හුත්තෝ උබ උබ හොදයි නගරසභාවේ toilet සුද්ද කරන්න.හිකුණ්ඨික සක්කිලියා,YES,අපොයි 2020 ජනාධිපති නෙද හුත්තෝ උබ උබ හොදයි නගරසභාවේ toilet සුද්ද කරන්න හිකුණ්ඨික සක්කිලියා
44,45,Lankawe wage political majarayo innakam police quality eka wadi karanna baha.....,YES,Lankawe wage political majarayo innakam police quality eka wadi karanna baha     
46,47,Lanka we inne labba bahapu naki police karayo ne..bulath wite kagena...ahisaka bike ekak nawath wala ugen rs . 500 aragena lami ta ganun ta kanna dena.,YES,Lanka we inne labba bahapu naki police karayo ne  bulath wite kagena   ahisaka bike ekak nawath wala ugen rs   500 aragena lami ta ganun ta kanna dena 
47,48,kasippu karayagen ganja karayagen keeyak hari aragena...unge bothalayata..yata una..kisima puhunuwak nathi gon harak tikak ne...police office ekak paththata nikamata gihilla blapalla...ali wrdi walatath duwana un inne...gam walin apu rilau...,YES,kasippu karayagen ganja karayagen keeyak hari aragena   unge bothalayata  yata una  kisima puhunuwak nathi gon harak tikak ne   police office ekak paththata nikamata gihilla blapalla   ali wrdi walatath duwana un inne   gam walin apu rilau   
49,50,Ape polisiya atule tmai wadiyenma horu inne,YES,Ape polisiya atule tmai wadiyenma horu inne
50,51,arawa kanno echchari danne policeya gena,YES,arawa kanno echchari danne policeya gena
52,53,තුවක්කු පුහුනුව දෙන්නෙ training එකේ විතරයි.. ඉලක්කයක් අරන් වෙඩි තියන්න කී දෙනාද දක්ෂ. නාකි පප්පල ටික ගහල පන්නන්න ඕන ජරාව කකා ඉන්නන් වාලේ ඉන්නවට.අනිත් එක සාමාන්‍ය මිනිස්සු ඉන්න තත්වයකදි මේ විදියට වෙඩි තැබීම අනුමත කරන්න බැ.,YES,තුවක්කු පුහුනුව දෙන්නෙ training එකේ විතරයි   ඉලක්කයක් අරන් වෙඩි තියන්න කී දෙනාද දක්ෂ  නාකි පප්පල ටික ගහල පන්නන්න ඕන ජරාව කකා ඉන්නන් වාලේ ඉන්නවට අනිත් එක සාමාන්‍ය මිනිස්සු ඉන්න තත්වයකදි මේ විදියට වෙඩි තැබීම අනුමත කරන්න බැ 
